Date,Open,High,Low,Close,P/E,P/B,Div Yield %
08 Nov 2017,25375.8,25435.6,25119.5,25184.0,28.68,2.93,0.18
07 Nov 2017,25669.1,25695.75,25248.95,25300.0,28.81,2.95,0.18
06 Nov 2017,25569.0,25694.6,25529.5,25571.0,29.12,2.98,0.18
03 Nov 2017,25531.4,25695.5,25394.95,25650.0,29.21,2.99,0.18
02 Nov 2017,25508.4,25598.75,25405.5,25427.0,28.95,2.96,0.18
01 Nov 2017,25197.3,25549.35,25171.75,25490.0,28.27,2.97,0.18
31 Oct 2017,25042.1,25078.65,24948.1,25019.0,27.75,2.91,0.18
30 Oct 2017,24873.65,25064.85,24808.55,24988.0,28.26,2.91,0.18
27 Oct 2017,24887.6,24995.7,24798.65,24839.0,28.09,2.89,0.19
26 Oct 2017,24953.95,25186.05,24864.6,25022.0,28.3,2.91,0.18
25 Oct 2017,24980.65,25157.8,24560.75,25035.0,28.31,2.92,0.18
24 Oct 2017,24141.95,24293.25,24032.65,24222.0,27.39,2.82,0.19
23 Oct 2017,24085.45,24151.0,23912.55,24088.0,27.34,2.8,0.19
19 Oct 2017,24238.4,24255.3,23923.7,24009.0,27.25,2.8,0.19
18 Oct 2017,24354.75,24454.65,24270.05,24313.0,27.6,2.83,0.19
17 Oct 2017,24697.25,24809.15,24571.85,24645.0,27.98,2.87,0.19
16 Oct 2017,24815.4,24878.65,24516.55,24703.0,28.04,2.88,0.19
13 Oct 2017,24411.1,24779.75,24387.8,24689.0,28.13,2.87,0.19
12 Oct 2017,24151.45,24393.4,23978.4,24361.0,27.76,2.84,0.19
11 Oct 2017,24411.45,24460.25,24054.25,24107.0,27.47,2.81,0.19
10 Oct 2017,24304.8,24379.75,24273.65,24347.0,27.74,2.83,0.19
09 Oct 2017,24209.55,24311.1,24156.05,24251.0,27.63,2.82,0.19
06 Oct 2017,24083.55,24242.05,24074.35,24190.0,27.56,2.82,0.19
05 Oct 2017,24114.75,24188.3,24033.35,24058.0,27.41,2.8,0.19
04 Oct 2017,24124.15,24230.45,24058.65,24113.0,27.48,2.81,0.19
03 Oct 2017,24200.6,24226.8,24007.25,24103.0,27.46,2.81,0.19
29 Sep 2017,24114.0,24227.45,24004.8,24053.0,27.41,2.8,0.19
28 Sep 2017,23804.05,24074.2,23611.1,24008.0,27.07,2.76,0.19
27 Sep 2017,24308.7,24331.85,23766.6,23812.0,26.85,2.74,0.2
26 Sep 2017,24105.6,24236.95,24017.4,24199.0,27.29,2.79,0.19
25 Sep 2017,24361.55,24363.8,24015.45,24165.0,27.25,2.78,0.19
22 Sep 2017,24704.55,24709.7,24340.0,24368.0,27.48,2.81,0.19
21 Sep 2017,24934.1,24992.5,24706.45,24799.0,27.97,2.85,0.19
20 Sep 2017,24984.65,25052.6,24938.3,24965.0,28.15,2.87,0.19
19 Sep 2017,25059.75,25103.45,24993.0,25041.0,28.24,2.88,0.19
18 Sep 2017,24948.15,25105.35,24941.75,25046.0,28.24,2.88,0.19
15 Sep 2017,24840.3,24916.85,24791.55,24844.0,28.02,2.86,0.19
14 Sep 2017,24857.25,24994.3,24815.5,24912.0,28.09,2.87,0.19
13 Sep 2017,24818.35,24948.8,24737.8,24831.0,28,2.86,0.19
12 Sep 2017,24779.15,24821.35,24653.6,24784.0,27.95,2.85,0.19
11 Sep 2017,24468.5,24735.35,24458.25,24672.0,27.82,2.84,0.19
08 Sep 2017,24409.5,24419.25,24273.0,24370.0,27.48,2.81,0.19
07 Sep 2017,24324.85,24413.1,24246.9,24304.0,27.41,2.8,0.19
06 Sep 2017,24192.4,24331.3,24151.1,24279.0,27.38,2.79,0.19
05 Sep 2017,24272.6,24388.05,24256.3,24328.0,27.43,2.8,0.19
04 Sep 2017,24456.3,24459.35,24156.4,24236.0,27.33,2.79,0.19
01 Sep 2017,24389.2,24494.35,24319.2,24434.0,27.55,2.81,0.19
31 Aug 2017,24354.35,24354.35,24207.7,24318.0,27.21,2.8,0.19
30 Aug 2017,24253.05,24384.1,24241.3,24308.0,27.2,2.8,0.19
29 Aug 2017,24302.0,24320.95,24103.3,24128.0,27,2.78,0.19
28 Aug 2017,24351.25,24422.45,24301.35,24377.0,27.28,2.81,0.19
24 Aug 2017,24374.75,24411.05,24224.85,24274.0,27.16,2.79,0.19
23 Aug 2017,24084.95,24350.0,24074.15,24316.0,27.21,2.8,0.19
22 Aug 2017,24080.6,24127.45,23852.65,23974.0,26.83,2.76,0.19
21 Aug 2017,24140.55,24258.95,23882.25,23936.0,26.79,2.76,0.2
18 Aug 2017,24125.3,24130.15,23925.95,24074.0,26.94,2.77,0.19
17 Aug 2017,24495.2,24496.2,24121.55,24237.0,27.12,2.79,0.19
16 Aug 2017,24188.75,24461.2,23947.45,24437.0,27.35,2.81,0.19
14 Aug 2017,24051.05,24212.15,24038.15,24115.0,26.99,2.78,0.19
11 Aug 2017,23958.25,24191.2,23868.3,23985.0,26.84,2.76,0.19
10 Aug 2017,24300.45,24326.9,23822.2,24217.0,27.1,2.81,0.22
09 Aug 2017,24519.25,24532.4,24328.1,24374.0,27.28,2.82,0.21
08 Aug 2017,24942.2,24966.05,24534.35,24599.0,27.53,2.85,0.21
07 Aug 2017,24854.15,24979.35,24844.45,24906.0,27.87,2.89,0.21
04 Aug 2017,24629.5,24879.7,24591.8,24827.0,27.66,2.88,0.21
03 Aug 2017,25002.85,25005.15,24619.6,24675.0,27.36,2.86,0.21
